case,event,date,numeric
19r,check credit,2016-01-03 13:31:01,3559
19r,calculate capacity,2016-01-03 12:31:01,22559
19r,check system,2016-01-03 18:31:01,4559
19r,accept,2016-01-03 18:15:01,45425
19r,send decision e-mail,2016-01-03 18:15:01,8425
20r,register application,2016-01-03 10:15:01,6425
20r,check credit,2016-01-03 13:15:01,6425
20r,calculate capacity,2016-01-03 12:37:01,23790
20r,check system,2016-01-03 18:37:01,5790
20r,accept,2016-01-03 18:37:01,43790
20r,send decision e-mail,2016-01-03 18:37:01,6790
21r,register application,2016-01-03 10:37:01,4790
21r,check credit,2016-01-03 13:37:01,4790
21r,calculate capacity,2016-01-03 12:37:01,23790
21r,check system,2016-01-03 18:37:01,5790
21r,accept,2016-01-03 18:37:01,43790
21r,send decision e-mail,2016-01-03 18:37:01,6790
22r,register application,2016-01-04 10:37:01,4790
22r,check credit,2016-01-04 13:37:01,4790
22r,calculate capacity,2016-01-04 12:37:01,23790
22r,check system,2016-01-04 18:37:01,5790
22r,accept,2016-01-04 18:37:01,43790
22r,send decision e-mail,2016-01-04 18:37:01,6790
23r,register application,2016-01-04 10:37:01,4790
23r,check credit,2016-01-04 13:37:01,4790
23r,calculate capacity,2016-01-04 12:37:01,23790
23r,check system,2016-01-04 18:37:01,5790
23r,accept,2016-01-04 18:37:01,43790
23r,send decision e-mail,2016-01-04 18:37:01,6790
24r,register application,2016-01-04 10:17:01,2732
24r,check credit,2016-01-04 13:17:01,2732
24r,calculate capacity,2016-01-04 12:17:01,21732
24r,check system,2016-01-04 18:31:01,2286
24r,accept,2016-01-04 18:31:01,40286
24r,send decision e-mail,2016-01-04 18:31:01,3286
25r,register application,2016-01-04 10:31:01,1286
25r,check credit,2016-01-04 13:31:01,1286
25r,calculate capacity,2016-01-04 12:31:01,20286
25r,check system,2016-01-04 18:31:01,2286
25r,accept,2016-01-04 18:31:01,40286
25r,send decision e-mail,2016-01-04 18:31:01,3286
26r,register application,2016-01-04 10:31:01,1286
26r,check credit,2016-01-04 13:31:01,1286
26r,calculate capacity,2016-01-04 12:31:01,20286
26r,check system,2016-01-04 18:31:01,2286
26r,accept,2016-01-04 18:31:01,40286
26r,send decision e-mail,2016-01-04 18:31:01,3286
27r,register application,2016-01-04 10:31:01,1286
27r,check credit,2016-01-04 13:31:01,1286
27r,calculate capacity,2016-01-04 12:31:01,20286
27r,check system,2016-01-04 18:31:01,2286
27r,accept,2016-01-04 18:31:01,40286
27r,send decision e-mail,2016-01-04 18:31:01,3286
28r,register application,2016-01-04 10:31:01,1286
28r,check credit,2016-01-04 13:31:01,1286
28r,calculate capacity,2016-01-04 12:31:01,20286
28r,check system,2016-01-04 18:31:01,2286
28r,accept,2016-01-04 18:31:01,40286
28r,send decision e-mail,2016-01-04 18:31:01,3286
29r,register application,2016-01-05 10:31:01,1286
29r,check credit,2016-01-05 13:33:01,2184
29r,calculate capacity,2016-01-05 12:33:01,21184
29r,check system,2016-01-05 18:12:01,5056
29r,accept,2016-01-05 18:12:01,43056
29r,send decision e-mail,2016-01-05 18:12:01,6056
30r,register application,2016-01-05 10:12:01,4056
30r,check credit,2016-01-05 13:12:01,4056
30r,calculate capacity,2016-01-05 12:12:01,23056
30r,check system,2016-01-05 18:12:01,5056
30r,accept,2016-01-05 18:12:01,43056
30r,send decision e-mail,2016-01-05 18:12:01,6056
31r,register application,2016-01-05 10:12:01,4056
31r,check credit,2016-01-05 13:12:01,4056
31r,calculate capacity,2016-01-05 12:12:01,23056
31r,check system,2016-01-05 18:12:01,5056
31r,accept,2016-01-05 18:12:01,43056
31r,send decision e-mail,2016-01-05 18:12:01,6056
32r,register application,2016-01-05 10:12:01,4056
32r,check credit,2016-01-05 13:12:01,4056
32r,calculate capacity,2016-01-05 12:12:01,23056
32r,check system,2016-01-05 18:12:01,5056
32r,accept,2016-01-05 18:12:01,43056
32r,send decision e-mail,2016-01-05 18:12:01,6056
33r,register application,2016-01-05 10:12:01,4056
33r,check credit,2016-01-05 13:12:01,4056
33r,calculate capacity,2016-01-05 12:12:01,23056
33r,check system,2016-01-05 18:10:01,7125
33r,accept,2016-01-05 18:10:01,45125
33r,send decision e-mail,2016-01-05 18:07:01,7072
34r,register application,2016-01-05 10:07:01,5072
34r,check credit,2016-01-05 13:07:01,5072
34r,calculate capacity,2016-01-05 12:07:01,24072
34r,check system,2016-01-05 18:07:01,6072
34r,accept,2016-01-05 18:07:01,44072
34r,send decision e-mail,2016-01-05 18:07:01,7072
35r,register application,2016-01-05 10:07:01,5072
35r,check credit,2016-01-05 13:07:01,5072
35r,calculate capacity,2016-01-05 12:07:01,24072
35r,check system,2016-01-05 18:07:01,6072
35r,accept,2016-01-05 18:07:01,44072
35r,send decision e-mail,2016-01-05 18:07:01,7072
36r,register application,2016-01-06 10:07:01,5072
36r,check credit,2016-01-06 13:07:01,5072
36r,calculate capacity,2016-01-06 12:07:01,24072
36r,check system,2016-01-06 18:07:01,6072
36r,accept,2016-01-06 18:07:01,44072
36r,send decision e-mail,2016-01-06 18:07:01,7072
37r,register application,2016-01-06 10:07:01,5072
37r,check credit,2016-01-06 13:07:01,5072
37r,calculate capacity,2016-01-06 12:07:01,24072
37r,check system,2016-01-06 18:07:01,6072
37r,accept,2016-01-06 18:07:01,44072
37r,send decision e-mail,2016-01-06 18:07:01,7072
38r,register application,2016-01-06 10:07:01,5072
38r,check credit,2016-01-06 13:07:01,5072
38r,calculate capacity,2016-01-06 12:07:01,24072
38r,check system,2016-01-06 18:07:01,6072
38r,accept,2016-01-06 18:49:01,45237
38r,send decision e-mail,2016-01-06 18:01:01,4809
39r,register application,2016-01-06 10:01:01,2809
39r,check credit,2016-01-06 13:01:01,2809
39r,calculate capacity,2016-01-06 12:01:01,21809
39r,check system,2016-01-06 18:01:01,3809
39r,accept,2016-01-06 18:01:01,41809
39r,send decision e-mail,2016-01-06 18:01:01,4809
40r,register application,2016-01-06 10:01:01,2809
40r,check credit,2016-01-06 13:01:01,2809
40r,calculate capacity,2016-01-06 12:01:01,21809
40r,check system,2016-01-06 18:01:01,3809
40r,accept,2016-01-06 18:01:01,41809
40r,send decision e-mail,2016-01-06 18:01:01,4809
41r,register application,2016-01-06 10:01:01,2809
41r,check credit,2016-01-06 13:01:01,2809
41r,calculate capacity,2016-01-06 12:01:01,21809
41r,check system,2016-01-06 18:01:01,3809
41r,accept,2016-01-06 18:01:01,41809
41r,send decision e-mail,2016-01-06 18:01:01,4809
42r,register application,2016-01-06 10:01:01,2809
42r,check credit,2016-01-06 13:01:01,2809
42r,calculate capacity,2016-01-06 12:01:01,21809
42r,check system,2016-01-06 18:01:01,3809
42r,accept,2016-01-06 18:49:01,40733
42r,send decision e-mail,2016-01-06 18:49:01,3733
43r,register application,2016-01-07 10:57:01,2265
43r,check credit,2016-01-07 13:57:01,2265
43r,calculate capacity,2016-01-07 12:57:01,21265
43r,check system,2016-01-07 18:57:01,3265
43r,accept,2016-01-07 18:57:01,41265
43r,send decision e-mail,2016-01-07 18:57:01,4265
44r,register application,2016-01-07 10:57:01,2265
44r,check credit,2016-01-07 13:57:01,2265
44r,calculate capacity,2016-01-07 12:57:01,21265
44r,check system,2016-01-07 18:57:01,3265
44r,accept,2016-01-07 18:57:01,41265
44r,send decision e-mail,2016-01-07 18:57:01,4265
45r,register application,2016-01-07 10:57:01,2265
45r,check credit,2016-01-07 13:57:01,2265
45r,calculate capacity,2016-01-07 12:57:01,21265
45r,check system,2016-01-07 18:57:01,3265
45r,accept,2016-01-07 18:57:01,41265
45r,send decision e-mail,2016-01-07 18:57:01,4265
46r,register application,2016-01-07 10:57:01,2265
46r,check credit,2016-01-07 13:57:01,2265
46r,calculate capacity,2016-01-07 12:57:01,21265
46r,check system,2016-01-07 18:57:01,3265
46r,accept,2016-01-07 18:57:01,41265
46r,send decision e-mail,2016-01-07 18:57:01,4265
47r,register application,2016-01-07 10:57:01,2265
47r,check credit,2016-01-07 13:57:01,2265
47r,calculate capacity,2016-01-07 12:50:01,20729
47r,check system,2016-01-07 18:31:01,2629
47r,accept,2016-01-07 18:31:01,40629
47r,send decision e-mail,2016-01-07 18:31:01,3629
48r,register application,2016-01-07 10:31:01,1629
48r,check credit,2016-01-07 13:31:01,1629
48r,calculate capacity,2016-01-07 12:31:01,20629
48r,check system,2016-01-07 18:31:01,2629
48r,accept,2016-01-07 18:31:01,40629
48r,send decision e-mail,2016-01-07 18:31:01,3629
49r,register application,2016-01-07 10:31:01,1629
49r,check credit,2016-01-07 13:31:01,1629
49r,calculate capacity,2016-01-07 12:31:01,20629
49r,check system,2016-01-07 18:31:01,2629
49r,accept,2016-01-07 18:31:01,40629
49r,send decision e-mail,2016-01-07 18:31:01,3629
50r,register application,2016-01-08 10:31:01,1629
50r,check credit,2016-01-08 13:31:01,1629
50r,calculate capacity,2016-01-08 12:31:01,20629
50r,check system,2016-01-08 18:31:01,2629
50r,accept,2016-01-08 18:31:01,40629
50r,send decision e-mail,2016-01-08 18:31:01,3629
51r,register application,2016-01-08 10:31:01,1629
51r,check credit,2016-01-08 13:31:01,1629
51r,calculate capacity,2016-01-08 12:31:01,20629
51r,check system,2016-01-08 18:31:01,2629
51r,accept,2016-01-08 18:31:01,40629
51r,send decision e-mail,2016-01-08 18:31:01,3629
52r,register application,2016-01-08 10:31:01,1629
52r,check credit,2016-01-08 13:31:01,1629
52r,calculate capacity,2016-01-08 12:35:01,20690
52r,check system,2016-01-08 18:35:01,2690
52r,accept,2016-01-08 18:07:01,44214
52r,send decision e-mail,2016-01-08 18:07:01,7214
53r,register application,2016-01-08 10:07:01,5214
53r,check credit,2016-01-08 13:07:01,5214
53r,calculate capacity,2016-01-08 12:07:01,24214
53r,check system,2016-01-08 18:07:01,6214
53r,accept,2016-01-08 18:07:01,44214
53r,send decision e-mail,2016-01-08 18:07:01,7214
54r,register application,2016-01-08 10:07:01,5214
54r,check credit,2016-01-08 13:07:01,5214
54r,calculate capacity,2016-01-08 12:07:01,24214
54r,check system,2016-01-08 18:07:01,6214
54r,accept,2016-01-08 18:07:01,44214
54r,send decision e-mail,2016-01-08 18:07:01,7214
55r,register application,2016-01-08 10:07:01,5214
55r,check credit,2016-01-08 13:07:01,5214
55r,calculate capacity,2016-01-08 12:07:01,24214
55r,check system,2016-01-08 18:07:01,6214
55r,accept,2016-01-08 18:07:01,44214
55r,send decision e-mail,2016-01-08 18:07:01,7214
56r,register application,2016-01-08 10:07:01,5214
56r,check credit,2016-01-08 13:07:01,5214
56r,calculate capacity,2016-01-08 12:07:01,24214
56r,check system,2016-01-08 18:07:01,6214
56r,accept,2016-01-08 18:07:01,44214
56r,send decision e-mail,2016-01-08 18:07:01,7214
57r,register application,2016-01-09 10:07:01,5214
57r,check credit,2016-01-09 13:07:01,5214
57r,calculate capacity,2016-01-09 12:07:01,24214
57r,check system,2016-01-09 18:08:01,5798
57r,accept,2016-01-09 18:08:01,43798
57r,send decision e-mail,2016-01-09 18:08:01,6798
58r,register application,2016-01-09 10:02:01,4678
58r,check credit,2016-01-09 13:02:01,4678
58r,calculate capacity,2016-01-09 12:02:01,23678
58r,check system,2016-01-09 18:02:01,5678
58r,accept,2016-01-09 18:02:01,43678
58r,send decision e-mail,2016-01-09 18:02:01,6678
59r,register application,2016-01-09 10:02:01,4678
59r,check credit,2016-01-09 13:02:01,4678
59r,calculate capacity,2016-01-09 12:02:01,23678
59r,check system,2016-01-09 18:02:01,5678
59r,accept,2016-01-09 18:02:01,43678
59r,send decision e-mail,2016-01-09 18:02:01,6678
60r,register application,2016-01-09 10:02:01,4678
60r,check credit,2016-01-09 13:02:01,4678
60r,calculate capacity,2016-01-09 12:02:01,23678
60r,check system,2016-01-09 18:02:01,5678
60r,accept,2016-01-09 18:02:01,43678
60r,send decision e-mail,2016-01-09 18:02:01,6678
61r,register application,2016-01-09 10:02:01,4678
61r,check credit,2016-01-09 13:02:01,4678
61r,calculate capacity,2016-01-09 12:02:01,23678
61r,check system,2016-01-09 18:02:01,5678
61r,accept,2016-01-09 18:02:01,43678
61r,send decision e-mail,2016-01-09 18:02:01,6678
62r,register application,2016-01-09 10:02:01,4678
62r,check credit,2016-01-09 13:02:01,4678
62r,calculate capacity,2016-01-09 12:02:01,23678
62r,check system,2016-01-09 18:02:01,5678
62r,accept,2016-01-09 18:02:01,43678
62r,send decision e-mail,2016-01-09 18:42:01,4252
63r,register application,2016-01-09 10:42:01,2252
63r,check credit,2016-01-09 13:04:01,4101
63r,calculate capacity,2016-01-09 12:04:01,23101
63r,check system,2016-01-09 18:04:01,5101
63r,accept,2016-01-09 18:04:01,43101
63r,send decision e-mail,2016-01-09 18:04:01,6101
64r,register application,2016-01-10 10:04:01,4101
64r,check credit,2016-01-10 13:04:01,4101
64r,calculate capacity,2016-01-10 12:04:01,23101
64r,check system,2016-01-10 18:04:01,5101
64r,accept,2016-01-10 18:04:01,43101
64r,send decision e-mail,2016-01-10 18:04:01,6101
65r,register application,2016-01-10 10:04:01,4101
65r,check credit,2016-01-10 13:04:01,4101
65r,calculate capacity,2016-01-10 12:04:01,23101
65r,check system,2016-01-10 18:04:01,5101
65r,accept,2016-01-10 18:04:01,43101
65r,send decision e-mail,2016-01-10 18:04:01,6101
66r,register application,2016-01-10 10:04:01,4101
66r,check credit,2016-01-10 13:04:01,4101
66r,calculate capacity,2016-01-10 12:04:01,23101
66r,check system,2016-01-10 18:04:01,5101
66r,accept,2016-01-10 18:04:01,43101
66r,send decision e-mail,2016-01-10 18:04:01,6101
67r,register application,2016-01-10 10:04:01,4101
67r,check credit,2016-01-10 13:04:01,4101
67r,calculate capacity,2016-01-10 12:04:01,23101
67r,check system,2016-01-10 18:04:01,5101
67r,accept,2016-01-10 18:04:01,43101
67r,send decision e-mail,2016-01-10 18:53:01,7029
68r,register application,2016-01-10 10:17:01,5434
68r,check credit,2016-01-10 13:17:01,5434
68r,calculate capacity,2016-01-10 12:17:01,24434
68r,check system,2016-01-10 18:17:01,6434
68r,accept,2016-01-10 18:17:01,44434
68r,send decision e-mail,2016-01-10 18:17:01,7434
69r,register application,2016-01-10 10:17:01,5434
69r,check credit,2016-01-10 13:17:01,5434
69r,calculate capacity,2016-01-10 12:17:01,24434
69r,check system,2016-01-10 18:17:01,6434
69r,accept,2016-01-10 18:17:01,44434
69r,send decision e-mail,2016-01-10 18:17:01,7434
70r,register application,2016-01-10 10:17:01,5434
70r,check credit,2016-01-10 13:17:01,5434
70r,calculate capacity,2016-01-10 12:17:01,24434
70r,check system,2016-01-10 18:17:01,6434
70r,accept,2016-01-10 18:17:01,44434
70r,send decision e-mail,2016-01-10 18:17:01,7434
71r,register application,2016-01-11 10:17:01,5434
71r,check credit,2016-01-11 13:17:01,5434
71r,calculate capacity,2016-01-11 12:17:01,24434
71r,check system,2016-01-11 18:17:01,6434
71r,accept,2016-01-11 18:17:01,44434
71r,send decision e-mail,2016-01-11 18:17:01,7434
72r,register application,2016-01-11 10:17:01,5434
72r,check credit,2016-01-11 13:17:01,5434
72r,calculate capacity,2016-01-11 12:17:01,24434
72r,check system,2016-01-11 18:17:01,6434
72r,accept,2016-01-11 18:17:01,44434
72r,send decision e-mail,2016-01-11 18:33:01,6372
73r,register application,2016-01-11 10:33:01,4372
73r,check credit,2016-01-11 13:03:01,1233
73r,calculate capacity,2016-01-11 12:03:01,20233
73r,check system,2016-01-11 18:03:01,2233
73r,accept,2016-01-11 18:03:01,40233
73r,send decision e-mail,2016-01-11 18:03:01,3233
74r,register application,2016-01-11 10:03:01,1233
74r,check credit,2016-01-11 13:03:01,1233
74r,calculate capacity,2016-01-11 12:03:01,20233
74r,check system,2016-01-11 18:03:01,2233
74r,accept,2016-01-11 18:03:01,40233
74r,send decision e-mail,2016-01-11 18:03:01,3233
75r,register application,2016-01-11 10:03:01,1233
75r,check credit,2016-01-11 13:03:01,1233
75r,calculate capacity,2016-01-11 12:03:01,20233
75r,check system,2016-01-11 18:03:01,2233
75r,accept,2016-01-11 18:03:01,40233
75r,send decision e-mail,2016-01-11 18:03:01,3233
76r,register application,2016-01-11 10:03:01,1233
76r,check credit,2016-01-11 13:03:01,1233
76r,calculate capacity,2016-01-11 12:03:01,20233
76r,check system,2016-01-11 18:03:01,2233
76r,accept,2016-01-11 18:03:01,40233
76r,send decision e-mail,2016-01-11 18:03:01,3233
77r,register application,2016-01-11 10:03:01,1233
77r,check credit,2016-01-11 13:03:01,1233
77r,calculate capacity,2016-01-11 12:03:01,20233
77r,check system,2016-01-11 18:03:01,2233
77r,accept,2016-01-11 18:03:01,40233
77r,send decision e-mail,2016-01-11 18:06:01,5926
78r,register application,2016-01-12 10:06:01,3926
78r,check credit,2016-01-12 13:34:01,4294
78r,calculate capacity,2016-01-12 12:34:01,23294
78r,check system,2016-01-12 18:34:01,5294
78r,accept,2016-01-12 18:34:01,43294
78r,send decision e-mail,2016-01-12 18:34:01,6294
79r,register application,2016-01-12 10:34:01,4294
79r,check credit,2016-01-12 13:34:01,4294
79r,calculate capacity,2016-01-12 12:34:01,23294
79r,check system,2016-01-12 18:34:01,5294
79r,accept,2016-01-12 18:34:01,43294
79r,send decision e-mail,2016-01-12 18:34:01,6294
80r,register application,2016-01-12 10:34:01,4294
80r,check credit,2016-01-12 13:34:01,4294
80r,calculate capacity,2016-01-12 12:34:01,23294
80r,check system,2016-01-12 18:34:01,5294
80r,accept,2016-01-12 18:34:01,43294
80r,send decision e-mail,2016-01-12 18:34:01,6294
81r,register application,2016-01-12 10:34:01,4294
81r,check credit,2016-01-12 13:34:01,4294
81r,calculate capacity,2016-01-12 12:34:01,23294
81r,check system,2016-01-12 18:34:01,5294
81r,accept,2016-01-12 18:34:01,43294
81r,send decision e-mail,2016-01-12 18:34:01,6294
82r,register application,2016-01-12 10:34:01,4294
82r,check credit,2016-01-12 13:34:01,4294
82r,calculate capacity,2016-01-12 12:34:01,23294
82r,check system,2016-01-12 18:34:01,5294
82r,accept,2016-01-12 18:34:01,43294
82r,send decision e-mail,2016-01-12 18:34:01,6294
83r,register application,2016-01-12 10:36:01,2322
83r,check credit,2016-01-12 13:25:01,2035
83r,calculate capacity,2016-01-12 12:32:01,23599
83r,check system,2016-01-12 18:13:01,3501
83r,accept,2016-01-12 18:13:01,41501
83r,send decision e-mail,2016-01-12 18:13:01,4501
84r,register application,2016-01-12 10:13:01,2501
84r,check credit,2016-01-12 13:13:01,2501
84r,calculate capacity,2016-01-12 12:13:01,21501
84r,check system,2016-01-12 18:13:01,3501
84r,accept,2016-01-12 18:13:01,41501
84r,send decision e-mail,2016-01-12 18:13:01,4501
85r,register application,2016-01-13 10:13:01,2501
85r,check credit,2016-01-13 13:13:01,2501
85r,calculate capacity,2016-01-13 12:13:01,21501
85r,check system,2016-01-13 18:13:01,3501
85r,accept,2016-01-13 18:13:01,41501
85r,send decision e-mail,2016-01-13 18:13:01,4501
86r,register application,2016-01-13 10:13:01,2501
86r,check credit,2016-01-13 13:13:01,2501
86r,calculate capacity,2016-01-13 12:13:01,21501
86r,check system,2016-01-13 18:13:01,3501
86r,accept,2016-01-13 18:13:01,41501
86r,send decision e-mail,2016-01-13 18:13:01,4501
87r,register application,2016-01-13 10:13:01,2501
87r,check credit,2016-01-13 13:13:01,2501
87r,calculate capacity,2016-01-13 12:13:01,21501
87r,check system,2016-01-13 18:13:01,3501
87r,accept,2016-01-13 18:13:01,41501
87r,send decision e-mail,2016-01-13 18:13:01,4501
88r,register application,2016-01-13 10:13:01,2501
88r,check credit,2016-01-13 13:13:01,2501
88r,calculate capacity,2016-01-13 12:01:01,21382
88r,check system,2016-01-13 18:48:01,2477
88r,accept,2016-01-13 18:04:01,42918
88r,send decision e-mail,2016-01-13 18:04:01,5918
89r,register application,2016-01-13 10:04:01,3918
89r,check credit,2016-01-13 13:04:01,3918
89r,calculate capacity,2016-01-13 12:04:01,22918
89r,check system,2016-01-13 18:04:01,4918
89r,accept,2016-01-13 18:04:01,42918
89r,send decision e-mail,2016-01-13 18:04:01,5918
90r,register application,2016-01-13 10:04:01,3918
90r,check credit,2016-01-13 13:04:01,3918
90r,calculate capacity,2016-01-13 12:04:01,22918
90r,check system,2016-01-13 18:04:01,4918
90r,accept,2016-01-13 18:04:01,42918
90r,send decision e-mail,2016-01-13 18:04:01,5918
91r,register application,2016-01-13 10:04:01,3918
91r,check credit,2016-01-13 13:04:01,3918
91r,calculate capacity,2016-01-13 12:04:01,22918
91r,check system,2016-01-13 18:04:01,4918
91r,accept,2016-01-13 18:04:01,42918
91r,send decision e-mail,2016-01-13 18:04:01,5918
92r,register application,2016-01-14 10:04:01,3918
92r,check credit,2016-01-14 13:04:01,3918
92r,calculate capacity,2016-01-14 12:04:01,22918
92r,check system,2016-01-14 18:04:01,4918
92r,accept,2016-01-14 18:04:01,42918
92r,send decision e-mail,2016-01-14 18:04:01,5918
93r,register application,2016-01-14 10:04:01,3918
93r,check credit,2016-01-14 13:04:01,3918
93r,calculate capacity,2016-01-14 12:04:01,22918
93r,check system,2016-01-14 18:02:01,2748
93r,accept,2016-01-14 18:02:01,40748
93r,send decision e-mail,2016-01-14 18:25:01,8117
94r,register application,2016-01-14 10:25:01,6117
94r,check credit,2016-01-14 13:25:01,6117
94r,calculate capacity,2016-01-14 12:25:01,25117
94r,check system,2016-01-14 18:25:01,7117
94r,accept,2016-01-14 18:25:01,45117
94r,send decision e-mail,2016-01-14 18:25:01,8117
95r,register application,2016-01-14 10:25:01,6117
95r,check credit,2016-01-14 13:25:01,6117
95r,calculate capacity,2016-01-14 12:25:01,25117
95r,check system,2016-01-14 18:25:01,7117
95r,accept,2016-01-14 18:25:01,45117
95r,send decision e-mail,2016-01-14 18:25:01,8117
96r,register application,2016-01-14 10:25:01,6117
96r,check credit,2016-01-14 13:25:01,6117
96r,calculate capacity,2016-01-14 12:25:01,25117
96r,check system,2016-01-14 18:25:01,7117
96r,accept,2016-01-14 18:25:01,45117
96r,send decision e-mail,2016-01-14 18:25:01,8117
97r,register application,2016-01-14 10:25:01,6117
97r,check credit,2016-01-14 13:25:01,6117
97r,calculate capacity,2016-01-14 12:25:01,25117
97r,check system,2016-01-14 18:25:01,7117
97r,accept,2016-01-14 18:25:01,45117
97r,send decision e-mail,2016-01-14 18:25:01,8117
98r,register application,2016-01-14 10:25:01,6117
98r,check credit,2016-01-14 13:25:01,6117
98r,calculate capacity,2016-01-14 12:25:01,25117
98r,check system,2016-01-14 18:25:01,7117
98r,accept,2016-01-14 18:01:01,41458
98r,send decision e-mail,2016-01-14 18:01:01,4458
99r,register application,2016-01-15 10:08:01,3718
99r,check credit,2016-01-15 13:08:01,3718
